condition	image_index	key_press	response_time	response_corr	stimulus_side	prioritization_cue
1	19	2	0.529205722210463	1	0	74
2	12	1	0.519501239605233	1	0	76
2	20	2	0.611203617432693	1	0	76
1	5	1	0.465089392138907	1	0	74
1	13	1	0.367166146897944	1	1	75
4	38	1	0.473300258121526	1	0	76
1	32	2	0.267344980935377	1	1	75
1	3	1	0.368247107484422	1	0	74
3	67	2	0.624751614968773	1	1	75
2	36	2	0.359965256224314	1	0	76
3	68	2	0.480231821715279	1	1	75
4	56	2	0.412700538012359	1	0	76
3	59	2	0.562817221369187	1	1	75
1	8	1	0.330081539026651	1	1	75
1	12	1	0.345416110514634	1	0	74
4	42	1	0.763944332833489	1	0	76
1	9	1	0.418446354888147	1	1	75
2	6	1	0.596000761303003	1	1	76
3	44	2	0.611740271308008	0	1	75
2	35	2	0.857350713100459	1	0	76
3	38	1	0.394905034923795	1	1	75
3	41	1	0.626630460825254	1	0	74
2	4	1	0.437973628067994	1	0	76
3	42	1	0.496222479583594	1	1	75
2	19	2	0.494933033953203	1	0	76
1	24	2	0.462500454666952	1	0	74
4	43	1	0.476273919777668	1	0	76
4	57	2	0.589189884125517	1	1	76
3	45	1	0.562022659958529	1	0	74
1	35	2	0.325435324704813	1	1	75
4	58	2	0.53137707010319	1	0	76
4	45	1	0.508483074072501	1	1	76
3	51	1	0.575477497402971	1	0	74
2	10	1	0.564002378449004	1	1	76
3	57	2	0.427341863574839	1	1	75
2	25	2	0.441126161080319	1	0	76
3	48	1	0.36227074519411	1	0	74
1	22	2	0.724012994396617	1	0	74
2	13	1	0.513516231798349	1	0	76
3	39	1	0.855185555148637	1	1	75
1	15	1	0.563796577867834	1	0	74
2	32	2	0.448695830871657	1	0	76
2	28	2	0.471782147944396	1	1	76
4	39	1	0.45505317054085	1	0	76
2	26	2	0.422024794592289	1	1	76
1	27	2	0.363193655808573	1	1	75
4	54	1	0.442300557915587	1	1	76
1	31	2	0.821522792437463	1	0	74
2	17	1	0.431269407938089	1	0	76
4	50	1	0.457648171070105	1	1	76
2	30	2	0.373188535673762	1	1	76
4	40	1	0.314468773518456	1	0	76
1	33	2	0.280092846613115	1	1	75
4	72	2	0.579081784086156	1	0	76
4	44	1	0.378711867990205	1	1	76
3	63	2	0.510849365269678	1	1	75
2	21	2	0.409418822344378	1	0	76
4	59	2	0.512303414045164	1	0	76
1	25	2	0.342887855849767	1	1	75
4	64	2	0.430861175416794	1	1	76
1	17	1	0.376790506104953	1	1	75
1	34	2	0.302312868134322	1	1	75
3	52	1	0.445477387935171	1	0	74
4	60	2	0.590993104735389	1	1	76
2	29	2	0.450279079719621	1	0	76
4	52	1	0.458065171013004	1	1	76
4	55	2	0.712631227102975	1	1	76
4	41	1	0.523430523022398	1	0	76
3	70	2	0.593686425298074	1	0	74
2	31	2	0.379177802795311	1	1	76
1	18	1	0.502860894281184	1	0	74
1	4	1	0.667525581395239	1	1	75
1	21	2	0.32749530592082	1	1	75
2	33	2	0.598956437799643	1	0	76
3	49	1	0.440674673616741	1	0	74
4	63	1	0.479420213090634	0	0	76
2	22	2	0.585836601005212	1	1	76
4	70	2	0.545840113947634	1	1	76
3	66	2	0.514252083319661	1	1	75
3	62	2	0.450279044887793	1	0	74
4	46	1	0.398420915926181	1	1	76
4	65	2	0.375788265733718	1	0	76
1	6	1	0.441869182781375	1	1	75
4	51	1	0.55662059622955	1	0	76
2	7	1	0.402566177997869	1	1	76
1	16	1	0.361081998047666	1	0	74
4	62	2	0.42770786368601	1	0	76
1	30	2	0.336347221307733	1	0	74
4	66	2	0.57882196085302	1	0	76
4	49	1	0.538202374717002	1	1	76
1	14	1	0.726146120401609	1	0	74
3	43	1	0.600727303033636	1	0	74
3	58	2	0.560155305796798	1	0	74
1	28	2	0.303694359266956	1	0	74
1	20	2	0.329645720468761	1	1	75
4	47	1	0.630496916846823	1	1	76
3	60	1	0.771207724987107	0	0	74
1	2	1	0.457423808131352	1	1	75
3	71	2	0.488210915740638	1	0	74
2	3	1	0.46174880237777	1	0	76
4	48	1	0.350765835908533	1	1	76
3	47	1	0.218299923497398	1	0	74
4	68	2	0.609312416576358	1	0	76
1	23	2	0.310279619598077	1	0	74
2	2	1	0.329159899738443	1	1	76
3	69	2	0.594152482010031	1	0	74
3	72	2	0.464056744434856	1	1	75
3	64	2	0.462875227176482	1	0	74
3	37	1	0.35305309092837	1	1	75
2	16	1	0.519392261330722	1	0	76
3	61	2	0.317831722197297	1	1	75
1	26	2	0.440156833377841	1	0	74
2	24	2	0.308075179907974	1	1	76
4	53	1	0.392464733138695	1	1	76
3	46	1	0.376273310237593	1	1	75
2	23	2	0.37019907325157	1	1	76
2	1	1	0.388379084073676	1	0	76
2	11	1	0.405241585551266	1	1	76
4	67	2	0.449078514962821	1	0	76
2	27	2	0.318277591943115	1	1	76
2	8	1	0.414796803024728	1	1	76
2	15	1	0.402119957456307	1	1	76
3	65	2	0.359523105915287	1	0	74
1	36	2	0.264383144354724	1	1	75
3	50	1	0.359385541465599	1	1	75
1	7	1	0.41660144672278	1	0	74
4	37	1	0.424367465495379	1	1	76
2	18	1	0.257871819972934	1	1	76
2	9	1	0.38154533546367	1	0	76
1	1	1	0.726088554954913	1	0	74
3	40	1	0.487966104603402	1	1	75
3	55	1	0.654605999614432	0	1	75
2	14	1	0.646131827314093	1	1	76
1	11	1	0.371216748664665	1	1	75
4	61	2	0.508251919118266	1	0	76
1	29	2	0.341930644308377	1	0	74
3	53	1	0.382744770706267	1	0	74
4	71	2	0.431567378418549	1	1	76
2	34	1	0.342494943928614	0	0	76
3	56	2	0.327829669666244	1	0	74
2	5	1	0.448058784528257	1	1	76
1	10	1	0.321703880530549	1	1	75
4	69	2	0.608835097060364	1	1	76
3	54	1	0.515199310846583	1	1	75
